Timestamp,Voltage,Altitude,PWM_Value
1774359008.1997788,12.143,12.43,1450
1774359009.2094646,12.193,15.16,1450
1774359010.2195652,12.193,17.55,1450
1774359011.2292402,12.193,19.77,1450
1774359012.2343473,12.193,21.88,1450
1774359013.243178,12.193,23.95,1450
1774359014.2431893,12.193,26.5,1450
1774359015.2483068,12.193,28.53,1450
1774359016.25744,12.193,30.55,1450
1774359017.270913,12.193,32.56,1450
1774359018.2805953,12.193,34.57,1420
1774359019.28293,12.193,36.92,1420
1774359020.288292,12.193,38.54,1420
1774359021.294024,12.193,40.05,1420
1774359022.3009646,12.193,41.85,1420
1774359023.3158987,12.193,43.26,1420
1774359024.3288505,12.193,44.65,1420
1774359025.3330307,12.193,46.38,1420
1774359026.3360841,12.193,47.75,1420
1774359027.3518622,12.193,49.12,1420
1774359028.3532462,12.193,50.46,1400
1774359029.3605754,12.193,51.69,1400
1774359030.3753333,12.193,52.5,1400
1774359031.3799052,12.193,53.49,1400
1774359032.383273,12.193,54.42,1400
1774359033.3991113,12.193,55.31,1400
1774359034.4014323,12.193,56.18,1400
1774359035.4154487,12.193,57.02,1400
1774359036.4193282,12.193,57.86,1400
1774359037.4239335,12.193,58.69,1400
1774359038.4286566,12.193,59.52,1380
1774359039.429639,12.242,60.29,1380
1774359040.4332285,12.242,60.91,1380
1774359041.4410906,12.242,61.55,1380
1774359042.4524744,12.242,62.01,1380
1774359043.4577305,12.242,62.55,1380
1774359044.464968,12.242,62.97,1380
1774359045.466844,12.242,63.39,1380
1774359046.4755204,12.242,63.83,1380
1774359047.4772675,12.242,64.36,1380
